file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\FYP_Project\temp_batch\File_897.java,com.puppycrawl.tools.checkstyle.api.Context,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
E:\FYP_Project\temp_batch\File_2179.java,org.junit.tests.experimental.theories.internal.AllTheoriesInternalTests,class,6,6,0,6,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
E:\FYP_Project\temp_batch\File_967.java,NonStaticBeforeClass,innerclass,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,class,6,7,1,6,13,1,0,4,43,0.72727275,0.0,0.0,11,0,3,3,4,1,8,0,1,0,3,0,0,3,0,0,1,0,0,67,3,0,2,0,0,1,3,6,1,4,1,0,2,0,108,1,0
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,class,6,6,0,6,6,3,0,9,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,44,1,0,0,1,0,2,10,7,0,7,1,0,1,0,26,1,0
E:\FYP_Project\temp_batch\File_981.java,Clock,innerclass,0,1,1,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest$CustomCounter$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
E:\FYP_Project\temp_batch\File_2542.java,MyResource,innerclass,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,class,5,8,3,5,47,1,0,43,234,0.76,0.0,0.0,25,3,20,5,0,0,20,0,0,0,2,0,0,2,0,0,0,0,14,170,23,5,4,4,4,22,6,12,9,8,3,1,0,0,143,1,0
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,innerclass,1,2,1,1,8,1,0,5,5,0.5,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,29,7,0,0,0,0,0,1,2,5,2,1,0,0,0,29,2,0
