file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\FYP_Project\temp_batch\File_897.java,com.puppycrawl.tools.checkstyle.api.Context,getAttributeNames/0,false,41,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
E:\FYP_Project\temp_batch\File_897.java,com.puppycrawl.tools.checkstyle.api.Context,get/1[java.lang.String],false,33,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
E:\FYP_Project\temp_batch\File_967.java,NonStaticBeforeClass,hereBecauseEveryTestClassNeedsATest/0,false,33,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
E:\FYP_Project\temp_batch\File_967.java,NonStaticBeforeClass,before/0,false,29,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,"skipped/3[long,AssumptionViolatedException,Description]",false,117,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,true
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,Stopwatch/1[Clock],true,88,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,"succeeded/2[long,Description]",false,105,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,true
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,runtime/1[TimeUnit],false,98,0,0,0,0,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,"failed/3[long,Throwable,Description]",false,111,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,true
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,Stopwatch/0,true,84,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,"finished/2[long,Description]",false,123,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,true
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,getNanos/0,false,126,1,0,0,0,3,1,10,1,1,0,1,0,0,0,2,0,0,1,2,2,1,1,0,0,0,11,2,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,stopping/0,false,143,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,starting/0,false,138,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,2,0,false
E:\FYP_Project\temp_batch\File_981.java,Stopwatch,"apply/2[Statement,Description]",false,147,2,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,false
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,RepeatedTestTest/1[java.lang.String],true,22,2,3,0,3,1,1,6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,testRepeatedOnce/0,false,29,3,0,0,0,1,4,7,0,2,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,8,1,0,false
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,testRepeatedZero/0,false,45,3,0,0,0,1,4,7,0,2,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,8,1,0,false
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,testRepeatedNegative/0,false,53,1,0,0,0,2,4,10,1,0,0,4,0,0,0,0,1,0,2,1,0,0,1,0,0,0,12,1,0,false
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest,testRepeatedMoreThanOnce/0,false,37,3,0,0,0,1,4,7,0,2,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,10,1,0,false
